WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Agustus
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit Infeksi dan parasit;226
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Neoplasma;33
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Endokrin, nutrisi dan gangguan metabolik;142
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gangguan jiwa dan perilaku;13
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit yang mengenai sistem syaraf;15
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit mata dan adnexa;32
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit telinga dan mastoid;98
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem sirkulasi;167
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pernafasan;945
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pencernaan;429
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada kulit dan jaringan subcutaneous;151
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem musculoskletal;210
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem saluran kemih dan genital;61
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Kehamilan dan kelahiran;9
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keadaan yang berasal dari periode perinatal;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;135
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keracunan, cedera dan beberapa penyebab yang dari luar;75
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyebab morbiditas dan kematian eksternal;7
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;426
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit Infeksi dan parasit;91
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Neoplasma;4
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Endokrin, nutrisi dan gangguan metabolik;46
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gangguan jiwa dan perilaku;3
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit yang mengenai sistem syaraf;25
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit mata dan adnexa;66
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit telinga dan mastoid;30
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem sirkulasi;32
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;501
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;351
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;43
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;129
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;85
