WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Oktober
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit Infeksi dan parasit;221
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Neoplasma;28
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Endokrin, nutrisi dan gangguan metabolik;172
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gangguan jiwa dan perilaku;11
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit yang mengenai sistem syaraf;20
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit mata dan adnexa;43
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit telinga dan mastoid;81
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem sirkulasi;167
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pernafasan;768
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pencernaan;396
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada kulit dan jaringan subcutaneous;163
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem musculoskletal;209
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem saluran kemih dan genital;69
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Kehamilan dan kelahiran;9
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keadaan yang berasal dari periode perinatal;1
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;184
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keracunan, cedera dan beberapa penyebab yang dari luar;50
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyebab morbiditas dan kematian eksternal;4
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;382
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit Infeksi dan parasit;75
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Neoplasma;6
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Endokrin, nutrisi dan gangguan metabolik;47
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gangguan jiwa dan perilaku;3
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit yang mengenai sistem syaraf;20
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit mata dan adnexa;67
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit telinga dan mastoid;47
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem sirkulasi;32
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;417
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;324
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;48
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;157
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;3
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;0
