WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Agustus
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit Infeksi dan parasit;218
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Neoplasma;26
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Endokrin, nutrisi dan gangguan metabolik;162
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gangguan jiwa dan perilaku;12
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit yang mengenai sistem syaraf;13
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit mata dan adnexa;35
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit telinga dan mastoid;82
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem sirkulasi;152
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pernafasan;830
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pencernaan;414
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada kulit dan jaringan subcutaneous;140
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem musculoskletal;204
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem saluran kemih dan genital;44
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Kehamilan dan kelahiran;13
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keadaan yang berasal dari periode perinatal;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;126
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keracunan, cedera dan beberapa penyebab yang dari luar;72
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyebab morbiditas dan kematian eksternal;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;311
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit Infeksi dan parasit;86
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Neoplasma;5
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Endokrin, nutrisi dan gangguan metabolik;28
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gangguan jiwa dan perilaku;5
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit yang mengenai sistem syaraf;21
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit mata dan adnexa;43
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit telinga dan mastoid;47
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem sirkulasi;25
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;490
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;314
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;38
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;124
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;70
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keracunan, cedera dan beberapa penyebab yang dari luar;53
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;221
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit Infeksi dan parasit;150
Surabaya Barat;Tandes;Puskesmas Balongsari;Neoplasma;9
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Barat;Tandes;Puskesmas Balongsari;Endokrin, nutrisi dan gangguan metabolik;53
Surabaya Barat;Tandes;Puskesmas Balongsari;Gangguan jiwa dan perilaku;7
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit yang mengenai sistem syaraf;55
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit mata dan adnexa;9
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit telinga dan mastoid;47
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem sirkulasi;58
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pernafasan;656
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pencernaan;441
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada kulit dan jaringan subcutaneous;94
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem musculoskletal;119
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem saluran kemih dan genital;39
Surabaya Barat;Tandes;Puskesmas Balongsari;Kehamilan dan kelahiran;18
Surabaya Barat;Tandes;Puskesmas Balongsari;Keadaan yang berasal dari periode perinatal;3
Surabaya Barat;Tandes;Puskesmas Balongsari;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Tandes;Puskesmas Balongsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;90
Surabaya Barat;Tandes;Puskesmas Balongsari;Keracunan, cedera dan beberapa penyebab yang dari luar;52
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyebab morbiditas dan kematian eksternal;2
Surabaya Barat;Tandes;Puskesmas Balongsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;501
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit Infeksi dan parasit;4
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Neoplasma;5
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Endokrin, nutrisi dan gangguan metabolik;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gangguan jiwa dan perilaku;1
