Kecamatan;0_laki;0_perempuan;1_laki;1_perempuan;2_laki;2_perempuan;3_laki;3_perempuan;4_laki;4_perempuan;5_laki;5_perempuan;6_laki;6_perempuan;7_laki;7_perempuan;8_laki;8_perempuan;9_laki;9_perempuan;10_laki;10_perempuan;11_laki;11_perempuan;12_laki;12_perempuan;13_laki;13_perempuan;14_laki;14_perempuan;15_laki;15_perempuan;16_laki;16_perempuan;17_laki;17_perempuan;18_laki;18_perempuan;19_laki;19_perempuan;20_laki;20_perempuan;21_laki;21_perempuan;22_laki;22_perempuan;23_laki;23_perempuan;24_laki;24_perempuan;25_laki;25_perempuan;26_laki;26_perempuan;27_laki;27_perempuan;28_laki;28_perempuan;29_laki;29_perempuan;30_laki;30_perempuan;31_laki;31_perempuan;32_laki;32_perempuan;33_laki;33_perempuan;34_laki;34_perempuan;35_laki;35_perempuan;36_laki;36_perempuan;37_laki;37_perempuan;38_laki;38_perempuan;39_laki;39_perempuan;40_laki;40_perempuan;41_laki;41_perempuan;42_laki;42_perempuan;43_laki;43_perempuan;44_laki;44_perempuan;45_laki;45_perempuan;46_laki;46_perempuan;47_laki;47_perempuan;48_laki;48_perempuan;49_laki;49_perempuan;50_laki;50_perempuan;51_laki;51_perempuan;52_laki;52_perempuan;53_laki;53_perempuan;54_laki;54_perempuan;55_laki;55_perempuan;56_laki;56_perempuan;57_laki;57_perempuan;58_laki;58_perempuan;59_laki;59_perempuan;60_laki;60_perempuan;61_laki;61_perempuan;62_laki;62_perempuan;63_laki;63_perempuan;64_laki;64_perempuan;65_laki;65_perempuan;66_laki;66_perempuan;67_laki;67_perempuan;68_laki;68_perempuan;69_laki;69_perempuan;70_laki;70_perempuan;71_laki;71_perempuan;72_laki;72_perempuan;73_laki;73_perempuan;74_laki;74_perempuan;75_laki;75_perempuan
ASEMROWO;267;258;390;336;422;382;420;421;434;404;381;373;449;417;415;417;447;401;439;406;450;430;428;393;437;390;420;416;489;416;410;434;435;386;377;379;417;369;425;393;437;381;395;410;382;434;369;336;392;370;350;396;434;379;405;391;345;359;416;370;400;397;351;343;372;366;357;366;392;362;374;388;397;381;407;415;389;372;447;375;443;401;415;416;447;433;342;360;349;351;352;345;357;371;308;357;325;321;314;304;295;297;329;287;292;280;288;256;231;243;188;212;221;220;200;206;173;173;192;197;177;184;149;169;160;189;120;159;145;147;115;128;118;120;101;118;94;87;90;79;72;70;53;57;61;72;37;36;41;44;194;249
BENOWO;393;322;475;460;555;489;555;528;578;538;524;486;625;598;609;545;596;578;643;581;688;648;581;597;644;610;640;602;605;583;655;616;580;559;585;529;545;616;631;572;566;637;578;588;600;585;525;480;522;594;580;541;541;552;603;552;553;580;523;529;518;524;455;485;465;488;446;466;486;468;478;478;536;560;588;585;600;653;581;617;622;676;612;649;561;632;558;592;523;528;563;634;574;558;541;547;453;540;532;576;538;512;535;485;501;479;379;452;402;408;363;392;396;431;382;402;309;348;323;322;272;274;260;277;283;278;239;237;249;200;167;191;180;160;163;154;158;146;118;106;99;86;84;72;68;90;66;63;48;56;247;355
BUBUTAN;444;382;577;557;661;645;743;729;731;703;708;655;777;726;748;733;782;781;846;798;894;794;842;750;795;730;832;786;810;776;882;791;802;770;848;736;782;766;807;817;823;786;877;825;875;793;684;714;734;752;740;732;713;693;794;750;777;744;687;663;697;698;665;673;673;662;650;629;664;660;671;641;692;702;758;747;719;743;822;839;781;822;807;786;775;814;697;778;705;745;739;742;695;707;724;800;709;691;715;770;744;752;683;705;710;751;661;631;597;676;565;589;565;596;491;579;462;576;441;498;409;463;433;448;427;470;371;439;335;400;275;367;310;331;269;314;268;321;223;269;185;255;170;210;158;203;137;192;91;168;784;1404
BULAK;223;214;369;306;352;351;355;376;360;373;362;332;391;403;362;377;405;373;405;373;427;428;355;392;430;366;425;419;380;391;437;407;364;352;434;365;387;376;414;395;427;360;442;409;385;399;339;330;343;386;336;339;375;350;357;372;332;363;349;355;370;338;346;323;342;315;311;292;319;343;359;358;315;355;382;422;389;358;415;390;406;399;372;380;391;369;350;359;319;353;331;369;354;353;322;362;317;310;367;349;346;323;313;309;299;290;280;305;259;261;244;252;226;266;235;238;203;217;198;198;202;172;150;157;150;184;149;170;139;149;123;152;114;107;87;111;81;108;91;83;74;94;47;78;48;64;41;58;28;66;275;430
DUKUH PAKIS;270;218;353;299;425;363;432;421;445;443;437;384;487;419;495;460;481;437;542;500;494;534;466;426;469;430;499;496;485;425;522;461;458;408;440;403;460;451;480;445;483;441;489;459;452;450;391;369;432;393;362;397;407;399;436;414;423;472;435;425;445;467;374;455;410;435;407;429;410;427;447;476;482;461;531;540;566;549;569;569;558;541;517;537;554;543;503;517;457;475;449;490;431;487;474;483;374;431;403;421;387;430;400;382;383;409;359;368;371;396;304;305;336;349;272;329;257;303;225;324;242;326;211;289;255;294;247;273;210;278;205;267;209;229;194;249;178;228;180;184;161;170;142;143;126;123;115;125;86;109;483;691
GAYUNGAN;194;191;260;222;307;299;310;302;349;281;295;284;353;311;352;315;370;314;377;338;367;373;325;348;348;335;370;339;376;347;362;376;345;303;361;319;354;346;334;374;334;334;378;367;332;331;320;273;291;302;267;303;312;341;330;318;278;339;302;312;296;354;276;324;282;289;283;307;277;282;291;317;282;298;323;339;339;343;341;396;375;414;382;411;353;421;340;378;355;334;341;360;348;352;308;308;326;315;322;350;298;327;348;352;296;347;286;303;286;300;259;274;237;320;233;255;213;216;196;233;160;232;202;219;171;231;163;178;156;198;134;166;127;168;139;136;122;145;121;124;85;109;87;96;84;127;69;73;57;66;372;553
GENTENG;231;222;344;301;380;370;397;401;416;379;366;392;437;383;456;419;436;412;496;449;480;476;440;470;459;394;448;457;473;478;505;513;460;464;450;394;432;419;498;502;435;449;540;457;471;423;380;391;448;435;413;416;462;412;475;386;446;412;410;403;407;406;377;370;393;374;409;373;374;413;437;380;397;418;428;457;485;460;510;529;471;511;431;469;444;478;418;410;442;440;422;411;408;402;434;422;393;424;428;440;376;426;382;412;376;399;348;390;368;360;303;378;340;349;328;342;301;361;293;310;298;331;259;287;253;316;274;297;246;283;203;287;201;277;195;262;185;239;173;257;149;211;135;188;147;169;105;146;78;125;603;1146
GUBENG;552;503;740;697;907;870;914;809;962;844;885;821;948;898;1038;932;1054;961;1072;979;1149;1042;1001;938;1035;1016;1071;1041;1067;975;1163;1072;977;973;1043;959;1021;1011;1089;1017;1044;1036;1114;1013;1073;1096;923;876;978;906;990;967;991;949;1023;981;954;938;853;883;943;923;812;869;847;868;846;862;873;851;933;859;876;959;913;994;955;1055;1134;1112;1031;1134;1028;1130;1022;1115;996;1035;1024;1080;1052;1100;1026;1096;1001;1053;970;959;1010;1098;1093;1115;994;1087;1006;1114;909;1014;957;1006;751;928;853;970;803;854;763;879;689;768;630;741;621;695;618;741;569;635;504;621;441;600;471;580;442;553;387;469;349;447;298;409;266;374;225;387;203;350;183;302;1434;2473
GUNUNG ANYAR;307;268;433;391;415;405;498;474;450;453;468;462;523;456;514;469;525;459;508;500;584;544;502;443;508;487;538;462;478;453;525;450;434;442;456;407;441;457;467;441;483;442;455;431;464;487;421;413;448;379;398;454;423;451;417;514;442;450;434;433;442;469;404;406;448;417;413;419;413;466;478;452;438;504;506;534;519;543;559;586;584;566;540;531;539;557;479;530;455;510;493;532;491;561;492;470;395;421;429;440;398;441;424;437;436;422;374;418;341;369;290;348;337;382;340;356;282;358;275;307;235;269;242;257;252;279;215;236;181;215;176;196;179;198;179;192;154;175;135;149;121;117;107;120;95;119;76;76;60;87;337;503
JAMBANGAN;283;238;337;335;421;394;402;412;427;420;372;371;471;413;460;421;469;458;477;414;471;465;465;409;472;402;457;470;481;428;447;434;442;381;413;433;404;402;433;416;393;423;419;397;377;370;350;345;371;387;369;367;380;389;388;453;378;407;377;383;399;393;399;369;407;375;354;375;315;383;375;421;409;433;421;463;434;461;504;525;520;493;488;464;426;448;433;431;415;426;389;436;412;401;374;407;369;379;398;401;360;370;361;399;352;396;323;326;321;336;287;310;297;329;248;329;269;288;212;288;232;233;210;278;217;268;195;227;176;213;193;195;175;183;158;164;148;155;139;141;98;124;88;90;89;84;65;80;68;61;337;412
